Slack,Value
-0.0,0.8
-0.18217391000000005,0.6
-0.55,0.35
-0.020000000000000018,0.65
-0.002173910000000001,0.65
-0.42000000000000004,0.35
-0.017826090000000017,0.7
-0.0,0.7
-0.31782608999999995,0.5
-0.0,0.7
-0.03217391000000003,0.65
-0.0,0.8
-0.07000000000000006,0.6
-0.002173910000000001,0.65
-0.0,0.77
-0.0,0.75
-0.28217391,0.45
-0.6499999999999999,0.2
-0.0,0.5
-0.18260870000000007,0.35
-0.52869565,0.15
-0.0173913,0.45
-0.0,0.5
-0.39608696,0.25
-0.0173913,0.45
-0.0,0.5
-0.29608696,0.35
-0.021304349999999972,0.4
-0.05391303999999997,0.4
-0.0,0.6
-0.09130435000000003,0.3
-0.023913039999999997,0.4
-0.0,0.57
-0.0,0.5
-0.28260870000000005,0.25
-0.6286956499999999,0.05
-0.0,0.8
-0.0173913,0.75
-0.41521738999999996,0.45
-0.18260870000000007,0.6
-0.0,0.75
-0.44782608999999995,0.4
-0.18260870000000007,0.6
-0.0,0.75
-0.34782609,0.5
-0.18260870000000007,0.6
-0.050000000000000044,0.7
-0.04782608999999993,0.8
-0.28260870000000005,0.5
-0.050000000000000044,0.7
-0.07782608999999996,0.77
-0.032608700000000046,0.75
-0.15000000000000002,0.6
-0.54782609,0.3
-0.0,0.8
-0.032608700000000046,0.75
-0.41521738999999996,0.45
-0.16739130000000002,0.65
-0.0,0.8
-0.4326087,0.45
-0.16739130000000002,0.63
-0.0,0.78
-0.3326087,0.53
-0.13478261000000002,0.6
-0.0173913,0.7
-0.0,0.8
-0.21739129999999995,0.5
-0.0,0.7
-0.012608700000000028,0.77
-0.0,0.75
-0.13260870000000002,0.6
-0.5152173900000001,0.3
