Variable_Name,Coeff,Optimal Value
Iced_Tea_in_Lisbon_from_Portugal,0.8,10000.0
Iced_Tea_in_Lisbon_from_Spain,0.6,0.0
Iced_Tea_in_Lisbon_from_France,0.35,0.0
Iced_Tea_in_Madrid_from_Portugal,0.65,0.0
Iced_Tea_in_Madrid_from_Spain,0.65,0.0
Iced_Tea_in_Madrid_from_France,0.35,0.0
Iced_Tea_in_Barcelona_from_Portugal,0.7,0.0
Iced_Tea_in_Barcelona_from_Spain,0.7,9000.0
Iced_Tea_in_Barcelona_from_France,0.5,0.0
Iced_Tea_in_Paris_from_Portugal,0.7,2000.0
Iced_Tea_in_Paris_from_Spain,0.65,0.0
Iced_Tea_in_Paris_from_France,0.8,13000.0
Iced_Tea_in_Marseille_from_Portugal,0.6,0.0
Iced_Tea_in_Marseille_from_Spain,0.65,0.0
Iced_Tea_in_Marseille_from_France,0.77,5000.0
Iced_Tea_in_Porto_from_Portugal,0.75,8000.0
Iced_Tea_in_Porto_from_Spain,0.45,0.0
Iced_Tea_in_Porto_from_France,0.2,0.0
Sparkling_Water_in_Lisbon_from_Portugal,0.5,8000.0
Sparkling_Water_in_Lisbon_from_Spain,0.35,0.0
Sparkling_Water_in_Lisbon_from_France,0.15,0.0
Sparkling_Water_in_Madrid_from_Portugal,0.45,0.0
Sparkling_Water_in_Madrid_from_Spain,0.5,9000.0
Sparkling_Water_in_Madrid_from_France,0.25,0.0
Sparkling_Water_in_Barcelona_from_Portugal,0.45,0.0
Sparkling_Water_in_Barcelona_from_Spain,0.5,7000.0
Sparkling_Water_in_Barcelona_from_France,0.35,0.0
Sparkling_Water_in_Paris_from_Portugal,0.4,0.0
Sparkling_Water_in_Paris_from_Spain,0.4,0.0
Sparkling_Water_in_Paris_from_France,0.6,10000.0
Sparkling_Water_in_Marseille_from_Portugal,0.3,0.0
Sparkling_Water_in_Marseille_from_Spain,0.4,0.0
Sparkling_Water_in_Marseille_from_France,0.57,5000.0
Sparkling_Water_in_Porto_from_Portugal,0.5,6000.0
Sparkling_Water_in_Porto_from_Spain,0.25,0.0
Sparkling_Water_in_Porto_from_France,0.05,0.0
Natural_Juice_in_Lisbon_from_Portugal,0.8,5000.0
Natural_Juice_in_Lisbon_from_Spain,0.75,0.0
Natural_Juice_in_Lisbon_from_France,0.45,0.0
Natural_Juice_in_Madrid_from_Portugal,0.6,0.0
Natural_Juice_in_Madrid_from_Spain,0.75,6000.0
Natural_Juice_in_Madrid_from_France,0.4,0.0
Natural_Juice_in_Barcelona_from_Portugal,0.6,0.0
Natural_Juice_in_Barcelona_from_Spain,0.75,4391.3043
Natural_Juice_in_Barcelona_from_France,0.5,0.0
Natural_Juice_in_Paris_from_Portugal,0.6,0.0
Natural_Juice_in_Paris_from_Spain,0.7,0.0
Natural_Juice_in_Paris_from_France,0.8,0.0
Natural_Juice_in_Marseille_from_Portugal,0.5,0.0
Natural_Juice_in_Marseille_from_Spain,0.7,0.0
Natural_Juice_in_Marseille_from_France,0.77,0.0
Natural_Juice_in_Porto_from_Portugal,0.75,0.0
Natural_Juice_in_Porto_from_Spain,0.6,0.0
Natural_Juice_in_Porto_from_France,0.3,0.0
Flavored_Mineral_Water_in_Lisbon_from_Portugal,0.8,4000.0
Flavored_Mineral_Water_in_Lisbon_from_Spain,0.75,0.0
Flavored_Mineral_Water_in_Lisbon_from_France,0.45,0.0
Flavored_Mineral_Water_in_Madrid_from_Portugal,0.65,0.0
Flavored_Mineral_Water_in_Madrid_from_Spain,0.8,5000.0
Flavored_Mineral_Water_in_Madrid_from_France,0.45,0.0
Flavored_Mineral_Water_in_Barcelona_from_Portugal,0.63,0.0
Flavored_Mineral_Water_in_Barcelona_from_Spain,0.78,4000.0
Flavored_Mineral_Water_in_Barcelona_from_France,0.53,0.0
Flavored_Mineral_Water_in_Paris_from_Portugal,0.6,0.0
Flavored_Mineral_Water_in_Paris_from_Spain,0.7,0.0
Flavored_Mineral_Water_in_Paris_from_France,0.8,6000.0
Flavored_Mineral_Water_in_Marseille_from_Portugal,0.5,0.0
Flavored_Mineral_Water_in_Marseille_from_Spain,0.7,1000.0
Flavored_Mineral_Water_in_Marseille_from_France,0.77,0.0
Flavored_Mineral_Water_in_Porto_from_Portugal,0.75,3500.0
Flavored_Mineral_Water_in_Porto_from_Spain,0.6,0.0
Flavored_Mineral_Water_in_Porto_from_France,0.3,0.0
