Slack,Value
-0.0,10000
12000.0,12000
-0.0,9000
-0.0,15000
5000.0,10000
-0.0,8000
-0.0,8000
-0.0,9000
-0.0,7000
-0.0,10000
3000.0,8000
-0.0,6000
-0.0,5000
-0.0,6000
108.69570000000022,4500
7000.0,7000
6000.0,6000
4000.0,4000
-0.0,4000
-0.0,5000
-0.0,4000
-0.0,6000
4000.0,5000
-0.0,3500
-0.0,20000
16000.0,25000
-0.0,18000
1000.0,15000
4000.0,20000
-0.0,15000
5000.0,10000
1608.696,12000
10000.0,10000
500.0,8000
-0.0,10000
3000.0,9000
-0.0,120000
25966.304,40000
3250.0,0
9250.0,0
18250.0,0
15750.0,0
13695.652,0
6695.6522,0
12304.348,0
12695.652,0
1500.0,0
4500.0,0
19500.0,0
13500.0,0
